,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
377,10.0,0.473,0.749,0.683,0.463,0.799,0.147,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,7,2,6,2.0,0.0,175.15978299999998,0.9001683668416361
378,10.0,0.191,0.789,0.057,0.301,0.429,0.893,0,0,0,0,0,0,0,0,2,1,1,0,9,2,3,18,2,17,15.0,0.0,184.697839,0.9018493646037814
379,10.0,0.255,0.579,0.125,0.951,0.635,0.611,0,0,0,0,0,0,0,0,2,1,1,1,6,1,1,13,2,11,9.0,0.0,198.66053499999995,0.9144069550817636
380,10.0,0.233,0.119,0.421,0.479,0.603,0.441,0,0,0,0,0,0,0,0,4,0,0,0,15,4,7,30,4,19,0.0,0.0,188.13710999999995,0.9008082292432035
381,10.0,0.793,0.513,0.105,0.115,0.963,0.047,0,0,0,0,0,0,0,0,0,0,0,0,16,3,4,23,3,16,2.0,0.0,128.74372699999998,0.8973622087652674
382,10.0,0.065,0.665,0.133,0.727,0.915,0.763,0,0,0,0,0,0,0,0,9,0,1,0,8,6,15,39,5,16,32.0,0.0,212.009498,0.9287272006344172
383,10.0,0.251,0.499,0.099,0.547,0.731,0.099,0,0,0,0,0,0,0,0,1,7,0,0,6,1,0,15,3,8,8.0,0.0,181.620959,0.8873068767040291
384,10.0,0.993,0.785,0.393,0.777,0.175,0.783,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,6,3,4,23.0,0.0,195.50970900000002,0.8990457056755399
385,10.0,0.091,0.573,0.017,0.579,0.469,0.255,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3,9,2,8,2.0,0.0,201.227123,0.9356415478615071
386,10.0,0.355,0.145,0.291,0.791,0.519,0.013,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,8,1,8,3882.0,0.0,164.37096400000001,0.9076047292366078
387,10.0,0.493,0.385,0.079,0.941,0.619,0.969,0,0,0,0,0,0,0,0,1,0,1,0,10,0,3,15,2,14,63.0,0.0,188.079797,0.9240811407913235
388,10.0,0.799,0.569,0.199,0.765,0.465,0.345,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,13,2,12,0.0,0.0,178.40768699999998,0.8883615352868345
389,10.0,0.335,0.253,0.241,0.741,0.875,0.093,0,0,0,0,0,0,0,0,1,0,1,1,7,2,2,14,2,11,0.0,0.0,184.60261,0.8778225806451613
390,10.0,0.787,0.811,0.977,0.001,0.481,0.033,0,0,0,0,0,0,0,0,2,0,0,1,7,1,1,12,2,11,90.0,0.0,102.79573900000001,0.8894704433497537
391,10.0,0.389,0.239,0.293,0.313,0.167,0.185,0,0,0,0,0,0,0,0,1,1,0,0,8,1,6,17,2,14,1.0,0.0,176.58569000000003,0.8919311346193736
392,10.0,0.339,0.923,0.719,0.665,0.923,0.343,0,0,0,0,0,0,0,0,1,1,0,0,14,1,14,31,5,16,0.0,0.0,196.57376299999999,0.9273321085935905
393,10.0,0.953,0.541,0.527,0.185,0.627,0.097,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,14,3,12,0.0,0.0,143.403191,0.8856185933218309
394,10.0,0.695,0.875,0.113,0.819,0.953,0.089,0,0,0,0,0,0,0,0,1,0,0,0,10,1,1,13,4,10,2.0,0.0,170.961993,0.8894633440181987
395,10.0,0.101,0.361,0.047,0.415,0.115,0.301,0,0,0,0,0,0,0,0,1,7,1,11,14,1,17,52,7,17,26.0,0.0,189.073825,0.9060883406287306
396,10.0,0.697,0.471,0.051,0.009,0.835,0.449,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,17,3,10,94.0,0.0,97.64080599999998,0.897465080186239
397,10.0,0.155,0.897,0.871,0.075,0.929,0.891,0,0,0,0,0,0,0,0,7,0,0,0,10,1,7,25,3,10,32.0,0.0,165.296648,0.8138046784852617
398,10.0,0.677,0.567,0.063,0.953,0.869,0.659,0,0,0,0,0,0,0,0,1,0,1,1,14,0,1,18,4,14,25.0,0.0,187.56761800000004,0.9101146393425992
399,10.0,0.549,0.347,0.831,0.989,0.157,0.635,0,0,0,0,0,0,0,0,7,0,0,0,14,0,4,25,3,16,1.0,0.0,200.929799,0.9122521606507371
400,10.0,0.861,0.063,0.727,0.641,0.369,0.879,0,0,0,0,0,0,0,0,1,0,0,0,17,9,4,31,4,18,0.0,0.0,191.486195,0.8830024311183144
401,10.0,0.763,0.173,0.449,0.017,0.471,0.627,0,0,0,0,0,0,0,0,0,6,1,0,12,1,1,21,3,12,27.0,0.0,100.237728,0.956861133935908
402,10.0,0.381,0.523,0.139,0.711,0.257,0.403,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,25.0,0.0,196.02625,0.8912374307408167
403,10.0,0.827,0.123,0.071,0.587,0.549,0.247,0,0,0,0,0,0,0,0,5,0,1,0,9,8,1,24,5,10,33.0,0.0,179.81715799999998,0.9024390243902439
404,10.0,0.009,0.553,0.301,0.095,0.325,0.469,0,0,0,0,0,0,0,0,6,0,0,0,8,1,1,16,4,8,19.0,0.0,199.87916099999995,0.9265397994679763
405,10.0,0.001,0.659,0.261,0.295,0.771,0.383,0,0,0,0,0,0,0,0,14,1,8,4,17,6,10,60,7,17,59.0,0.0,215.663103,0.9353730877302529
406,10.0,0.345,0.527,0.659,0.319,0.125,0.001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7902.0,0.0,116.93233699999999,0.7873693133653574
407,10.0,0.643,0.291,0.881,0.985,0.035,0.933,0,0,0,0,0,0,0,0,0,1,1,0,7,1,4,14,5,9,26.0,0.0,209.671869,0.8892239646160032
408,10.0,0.099,0.189,0.647,0.263,0.967,0.787,0,0,0,0,0,0,0,0,0,1,5,0,15,5,1,27,5,16,35.0,0.0,191.63599199999996,0.8942194678918688
409,10.0,0.123,0.495,0.349,0.473,0.091,0.509,0,0,0,0,0,0,0,0,1,0,1,0,13,8,1,24,5,14,10.0,0.0,204.64809299999996,0.9167165967645297
410,10.0,0.613,0.879,0.895,0.151,0.665,0.577,0,0,0,0,0,0,0,0,1,0,1,0,8,0,1,11,4,8,10.0,0.0,153.898751,0.8639306703854965
411,10.0,0.307,0.457,0.055,0.499,0.399,0.883,0,0,0,0,0,0,0,0,6,0,0,0,6,1,0,13,3,7,20.0,0.0,184.13023999999996,0.8921648643134055
412,10.0,0.299,0.955,0.367,0.837,0.897,0.295,0,0,0,0,0,0,0,0,1,1,0,0,10,0,3,15,3,10,0.0,0.0,193.61855099999997,0.9037219317133189
413,10.0,0.397,0.033,0.681,0.585,0.607,0.549,0,0,0,0,0,0,0,0,10,1,1,0,11,0,17,40,4,18,1.0,0.0,187.436694,0.9168022782750204
414,10.0,0.683,0.645,0.651,0.333,0.651,0.481,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,11,2,10,0.0,0.0,172.984012,0.8771929824561403
415,10.0,0.685,0.655,0.809,0.449,0.565,0.877,0,0,0,0,0,0,0,0,1,0,0,0,7,6,6,20,4,11,4.0,0.0,186.798831,0.8956360642239605
416,10.0,0.561,0.721,0.535,0.083,0.863,0.395,0,0,0,0,0,0,0,0,6,0,0,0,1,2,8,17,3,8,8.0,0.0,136.328876,0.8453292496171516
417,10.0,0.999,0.591,0.885,0.551,0.777,0.573,0,0,0,0,0,0,0,0,1,1,0,0,7,0,3,12,4,8,66.0,0.0,172.37110599999997,0.8445408532176428
418,10.0,0.731,0.349,0.289,0.091,0.589,0.327,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,17,2,10,32.0,0.0,130.28986799999998,0.8645630570638254
419,10.0,0.859,0.799,0.217,0.673,0.159,0.273,0,0,0,0,0,0,0,0,1,0,0,0,16,1,12,30,4,17,22.0,0.0,176.818232,0.905829596412556
420,10.0,0.813,0.535,0.833,0.025,0.061,0.643,0,0,0,0,0,0,0,0,0,0,0,0,16,5,6,27,3,16,30.0,0.0,112.554345,0.9839310418218581
421,10.0,0.075,0.159,0.655,0.655,0.515,0.961,0,0,0,0,0,0,0,0,1,0,8,8,10,6,1,34,5,10,33.0,0.0,205.29119000000003,0.9290787337662337
422,10.0,0.739,0.311,0.435,0.797,0.425,0.361,0,0,0,0,0,0,0,0,1,0,1,1,10,0,1,14,5,10,9.0,0.0,184.091564,0.8971953387319771
423,10.0,0.395,0.487,0.285,0.213,0.379,0.753,0,0,0,0,0,0,0,0,10,0,0,8,9,0,12,39,4,15,0.0,0.0,175.251173,0.9060013751104999
424,10.0,0.045,0.177,0.685,0.303,0.337,0.601,0,0,0,0,0,0,0,0,8,1,0,11,10,1,7,38,6,11,4.0,0.0,212.38287899999997,0.9140463384360777
425,10.0,0.825,0.141,0.401,0.929,0.285,0.157,0,0,0,0,0,0,0,0,0,1,9,0,9,9,9,37,5,10,43.0,0.0,180.19226799999998,0.8908440202803459
426,10.0,0.967,0.011,0.173,0.317,0.055,0.353,0,0,0,0,0,0,0,0,0,0,0,1,8,0,9,18,3,9,58.0,0.0,170.01747499999996,0.8890010090817356
427,10.0,0.171,0.331,0.667,0.143,0.283,0.725,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,11,2,10,21.0,0.0,181.63888999999998,0.8956567242281528
428,10.0,0.667,0.587,0.471,0.995,0.267,0.083,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,13,3,7,213.0,0.0,189.77854099999996,0.8975848364414553
429,10.0,0.485,0.625,0.487,0.331,0.645,0.417,0,0,0,0,0,0,0,0,1,1,0,0,10,0,4,16,4,11,11.0,0.0,173.63206099999996,0.8747960848287113
430,10.0,0.199,0.381,0.479,0.039,0.475,0.793,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,12,3,10,48.0,0.0,149.9964,0.8896558725002538
431,10.0,0.375,0.431,0.223,0.947,0.095,0.665,0,0,0,0,0,0,0,0,10,1,7,3,15,4,14,54,7,15,17.0,0.0,194.69034,0.9186758893280632
