,shortages,mismatches,youngblood,FIFO,usability,substitution,today,total_antibodies,max_antibodies_pp,alloimm_patients,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
427,10.0,0.23,0.23,0.84,0.5,0.97,0.86,9,2,8,0,0,0,0,0,0,0,0,3,0,0,1,3,2,0,6.0,0.0,198.944486,0.921873380996788
428,10.0,0.18,0.44,0.81,0.46,0.34,0.02,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2282.0,0.0,175.59701899999996,0.8743416102332581
429,10.0,0.77,0.79,0.35,0.61,0.18,0.07,12,1,12,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,5.0,0.0,168.57988699999996,0.8711774865386569
430,10.0,0.54,0.58,0.32,0.3,0.59,0.03,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,34.0,0.0,152.272491,0.8937183383991895
431,10.0,0.98,0.66,0.59,0.54,0.01,0.11,15,1,15,0,0,0,0,0,0,0,0,0,1,0,0,10,3,1,0.0,0.0,178.37176499999998,0.8845889401826933
432,10.0,0.24,0.67,0.52,0.28,0.47,0.54,10,2,9,0,0,0,0,0,0,0,0,2,0,0,1,4,1,2,13.0,0.0,188.385236,0.9013294557540508
433,10.0,0.33,0.84,0.47,0.55,0.65,0.77,11,2,10,0,0,0,0,0,0,0,0,1,0,0,0,7,3,0,0.0,0.0,188.371816,0.9088672475653512
434,10.0,0.94,0.21,0.06,0.42,0.03,0.85,10,2,9,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,49.0,0.0,194.89216,0.9273001508295626
435,10.0,0.67,0.74,0.72,0.73,0.47,0.43,13,2,12,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,43.0,0.0,190.514841,0.9112402324183532
436,10.0,0.87,0.06,0.24,0.35,0.62,0.89,15,1,15,0,0,0,0,0,0,0,0,1,0,0,0,10,2,2,0.0,0.0,170.995146,0.8665440425097077
437,10.0,0.85,0.25,0.78,0.12,0.16,0.01,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,164.0,0.0,133.9683,0.9324953949506988
438,10.0,0.73,0.24,0.21,0.17,0.22,0.9,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,15.0,0.0,153.580743,0.8944216829498897
439,10.0,0.57,0.78,0.1,0.27,0.31,0.9,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,177.0,0.0,170.06134799999995,0.8998593812776216
440,10.0,0.71,0.37,0.1,0.3,0.01,0.75,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0.0,0.0,190.861166,0.9048372737164904
441,10.0,0.6,0.86,0.17,0.44,0.15,0.82,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0.0,0.0,184.376012,0.894189345381948
442,10.0,0.31,0.56,0.49,0.7,0.22,0.36,15,2,14,0,0,0,0,0,0,0,0,1,0,0,0,11,3,0,0.0,0.0,205.45569,0.9046332848535216
443,10.0,0.46,0.04,0.03,0.0,0.92,0.29,12,1,12,0,0,0,0,0,0,0,0,1,0,0,0,9,1,1,119.0,0.0,100.331411,0.8138325533021321
444,10.0,0.52,0.77,0.38,0.68,0.04,0.89,18,2,15,0,0,0,0,0,0,0,0,4,0,1,1,9,1,2,13.0,0.0,205.511548,0.906760847628658
445,10.0,0.53,0.65,0.32,0.3,0.73,0.7,13,2,12,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,73.0,0.0,163.31662999999998,0.8788091419406576
446,10.0,0.64,0.68,0.28,0.77,0.77,0.27,15,2,14,0,0,0,0,0,0,0,0,0,1,0,0,11,2,1,1.0,0.0,183.129841,0.9106751643098984
