,shortages,mismatches,youngblood,FIFO,usability,substitution,today,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S,total_antibodies,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD,subst_SCD_A,subst_SCD_B,subst_SCD_D,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S
161,100.0,0.5971920000000001,0.336672,0.773544,0.6513000000000001,0.501,47.1942,0,0,0,0,0,0,0,0,2,0,0,0,9,1,3,15,1,15,0.0,0.0,200.642332,0.9136683613609698,18,30,41,0.0,0.0,0.0,2.885808,12.509431,29.586688,4.3069440000000005,74.59836399999999,14.706537,3.76992,20.071074,6.541844,18.636618,0.0,13.029104
162,100.0,0.6372720000000001,0.623244,0.156312,0.41082,0.759516,37.8756,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,11,1,11,16.0,0.0,177.59130000000002,0.9227268129867504,23,22,38,0.0,0.0,0.0,2.662647,11.718618,22.839192,3.735552,63.658152,13.927767,3.4626240000000004,17.792602,5.991186,18.742724,0.0,13.060236
163,100.0,0.398796,0.2505,0.28056,0.76152,0.7494959999999999,100.701,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,10,1,10,0.0,0.0,205.098716,0.9474001204577394,24,25,41,0.0,0.0,0.0,2.91434,12.447898,27.914568,4.217856,81.737596,14.798157,3.718176,19.876484,6.381432,18.403385,0.0,12.688824
164,100.0,0.274548,0.168336,0.218436,0.3727439999999999,0.322644,127.75499999999998,0,0,0,0,0,0,0,0,2,0,0,1,8,0,1,12,1,12,84.0,0.0,203.076827,0.9251872848754809,19,27,38,0.0,0.0,0.0,2.83282,12.030841,30.767008,3.898368,76.912004,15.477672,3.701808,19.416544,6.458942,18.502484,0.0,13.078336
165,100.0,0.99198,0.8076120000000001,0.236472,0.625248,0.5631240000000001,94.689,0,0,0,0,0,0,0,0,1,0,0,0,9,1,3,14,1,14,14.0,0.0,185.708725,0.9070602313522138,15,30,39,0.0,0.0,0.0,2.677932,12.299763,22.012968,4.073472,71.689788,13.930821,3.559248,18.118098,5.95816,18.529511,0.0,12.858964
166,100.0,0.08016,0.58116,0.903804,0.92184,0.498996,142.4844,0,0,0,0,0,0,0,0,0,1,3,2,7,0,5,18,2,15,59.0,0.0,216.920355,0.925870380289234,13,22,37,0.0,0.0,0.0,3.192527,13.140714,31.86864,4.5342720000000005,86.364876,14.996667,3.722928000000001,21.224462,6.462312,18.735717,0.0,12.67724
167,100.0,0.96192,0.434868,0.446892,0.843684,0.973944,104.6088,0,0,0,0,0,0,0,0,3,1,0,1,5,3,4,17,3,15,42.0,0.0,188.91287,0.893428425878757,17,31,40,0.0,0.0,0.0,2.765566,11.438301,23.980168,4.328448,71.8881,14.410299,3.641088,18.66295,6.175188,18.460442,0.0,13.16232
168,100.0,0.775548,0.37074,0.893784,0.358716,0.038076,137.0736,0,0,0,0,0,0,0,0,1,0,0,0,12,1,4,18,2,15,36.0,0.0,220.068134,0.9029700983343368,16,27,38,0.0,0.0,0.0,2.519987,12.545895000000002,32.399784,4.260864,92.479496,14.596593,3.5354880000000004,19.91894,6.35245,18.879861,0.0,12.578776
169,100.0,0.4869719999999999,0.232464,0.01002,0.116232,0.1863719999999999,85.67099999999999,0,0,0,0,0,0,0,0,0,0,0,0,12,1,5,18,2,15,72.0,1.0,170.760672,0.9464499401675308,17,31,39,0.0,0.0,0.0,2.495531,11.445138000000002,17.40972,4.03968,65.542116,13.07112,3.212352,16.501231999999998,5.706758,18.751733,0.0,12.585292
170,100.0,0.7575120000000001,0.308616,0.464928,0.16032,0.505008,54.4086,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,11,2,10,31.0,0.0,158.9111,0.8484663201875063,15,29,36,0.0,0.0,0.0,2.718692,11.101009,13.357288,4.297728,52.71794,14.58285,3.655872000000001,18.351606,6.458268,18.481463,0.0,13.188384
171,100.0,0.084168,0.8056080000000001,0.158316,0.993984,0.028056,105.8112,0,0,0,0,0,0,0,0,3,1,1,0,11,1,2,19,2,16,21.0,0.0,212.804374,0.9202306079664572,17,32,39,0.0,0.0,0.0,2.749262,13.090576,24.747376,4.245504,90.628584,14.634768,3.663264,21.408438,6.20754,18.652634,0.0,12.776428
172,100.0,0.364728,0.723444,0.737472,0.228456,0.244488,39.3786,0,0,0,0,0,0,0,0,1,0,0,0,11,2,2,16,2,15,26.0,0.0,199.22782,0.8782509584499015,14,20,36,0.0,0.0,0.0,2.915359,12.655287,24.570328,4.389888,77.738304,15.341769,3.65904,19.837566,6.545888,18.633615,0.0,12.940776
173,100.0,0.468936,0.224448,0.98196,0.5290560000000001,0.985968,46.593,0,0,0,0,0,0,0,0,2,0,0,0,10,1,5,18,2,17,16.0,0.0,198.665278,0.8862689297692855,14,22,38,0.0,0.0,0.0,2.833839,12.297484,25.652288,4.187136,76.15180799999999,15.415064999999998,3.697584,19.982624,6.649684,18.752734,0.0,13.045032
174,100.0,0.48096,0.154308,0.142284,0.258516,0.92184,95.59080000000002,0,0,0,0,0,0,0,0,2,0,0,0,8,0,2,12,2,11,43.0,0.0,179.62252099999998,0.9014084507042254,14,27,40,0.0,0.0,0.0,3.007069,11.265097,23.468696,4.110336,64.748868,13.790337,3.5988480000000003,18.139326,6.057912,18.570552,0.0,12.86548
175,100.0,0.44088,0.462924,0.298596,0.404808,0.112224,33.9678,0,0,0,0,0,0,0,0,2,2,1,0,7,4,1,17,2,16,6.0,0.0,203.948331,0.8966480446927374,20,28,36,0.0,0.0,0.0,2.637172,12.26102,25.888352,4.005888,84.150392,14.260653,3.589344,19.267948,6.0997,18.860842,0.0,12.92702
176,100.0,0.5310600000000001,0.086172,0.17034,0.653304,0.667332,79.35840000000002,0,0,0,0,0,0,0,0,0,0,2,1,8,3,2,16,2,15,1.0,0.0,191.62145,0.9182235834609496,17,27,36,0.0,0.0,0.0,2.758433,11.449696,27.816208,4.122624,71.788944,13.805607,3.69336,18.447132,6.248654,18.522504,0.0,12.968288
177,100.0,0.262524,0.663324,0.214428,0.17034,0.52104,140.6808,0,0,0,0,0,0,0,0,1,0,0,0,10,1,1,13,1,13,119.0,0.0,194.452858,0.9192469910503036,12,29,39,0.0,0.0,0.0,2.749262,12.167581000000002,24.49164,4.02432,76.052652,14.141547,3.519648,19.88356,6.1772100000000005,18.504486,0.0,12.740952
178,100.0,0.5591160000000001,0.284568,0.6012,0.2505,0.208416,122.3442,0,0,0,0,0,0,0,0,2,0,0,0,9,2,2,15,1,15,2.0,0.0,190.695646,0.9057811352428916,17,29,37,0.0,0.0,0.0,2.698312,12.254183,23.763776,4.478976,71.92115199999999,14.897412,3.573504,19.186574,6.53106,18.571553,0.0,12.819144
179,100.0,0.715428,0.4128239999999999,0.509016,0.713424,0.356712,123.246,0,0,0,0,0,0,0,0,1,1,0,0,5,3,3,13,2,11,7.0,0.0,196.397864,0.8973548319106334,12,27,37,0.0,0.0,0.0,2.719711,12.333948,23.626072,4.248576,77.63914799999999,14.126277,3.70128,20.088764,6.435352,18.502484,0.0,12.976252
180,100.0,0.8376719999999999,0.1082159999999999,0.208416,0.458916,0.118236,18.6372,0,0,0,0,0,0,0,0,2,1,0,0,7,0,5,15,2,12,0.0,0.0,193.920273,0.9124,16,35,39,0.0,0.0,0.0,2.31313,12.51171,26.498184,4.030464,76.8459,13.845309,3.3459360000000005,17.21237,6.163056,18.504486,0.0,12.649728
181,100.0,0.358716,0.332664,0.6953879999999999,0.23046,0.6392760000000001,88.67699999999999,0,0,0,0,0,0,0,0,3,0,0,0,9,0,6,18,2,15,1.0,0.0,191.103851,0.9128183889003936,13,29,39,0.0,0.0,0.0,2.909245,12.281531,21.24576,4.356096,73.739012,15.115773,3.615216,19.819876,6.405022,18.63862,0.0,12.9777
