,shortages,mismatches,FIFO,usability,substitution,today,total_antibodies,alloimm_risk_A,alloimm_risk_B,alloimm_risk_D,alloimm_risk_C,alloimm_risk_c,alloimm_risk_E,alloimm_risk_e,alloimm_risk_K,alloimm_risk_Fya,alloimm_risk_Fyb,alloimm_risk_Jka,alloimm_risk_Jkb,alloimm_risk_M,alloimm_risk_N,alloimm_risk_S,total_alloimm_risk,max_antibodies_pp,alloimm_patients,total_shortages,total_outdates,subst_SCD_A,subst_SCD_B,subst_SCD_D,antibodies_A,antibodies_B,antibodies_D,antibodies_C,antibodies_c,antibodies_E,antibodies_e,antibodies_K,antibodies_Fya,antibodies_Fyb,antibodies_Jka,antibodies_Jkb,antibodies_M,antibodies_N,antibodies_S
449,100.0,0.8701402805611222,0.4041082164328657,0.1683366733466934,0.0761523046092184,13.713627254509015,10,0.0,0.0,0.0,2.296826,12.575522,19.47528,4.17792,66.20315599999999,13.894173,3.46632,19.642976,6.018146,18.5185,0.0,12.567916,178.83673499999995,2,9,14.0,0.0,11,38,40,0,0,0,0,0,0,0,0,0,1,0,0,6,2,1
450,100.0,0.3555110220440882,0.6649298597194389,0.0729458917835671,0.87374749498998,92.19218436873749,12,0.0,0.0,0.0,2.806326,10.683952,14.537608,4.325376,51.329756,14.53704,3.5317920000000003,17.88459,6.361886,18.533515,0.0,13.148564,157.68040499999998,1,12,30.0,0.0,12,28,40,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3
451,100.0,0.9486973947895792,0.7924849699398798,0.0681362725450901,0.2064128256513026,54.95490981963928,15,0.0,0.0,0.0,2.502664,11.278771,8.281912,4.310016,32.985896,14.666835,3.668016,18.348068,6.14014,18.685667,0.0,13.126844,133.99482899999998,2,14,54.0,0.0,19,26,39,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3
452,100.0,0.6120240480961924,0.8553106212424849,0.0480961923847695,0.1543086172344689,94.7947895791583,18,0.0,0.0,0.0,2.448657,11.351699000000002,9.836,4.291584,40.687012,14.769144,3.595152,18.118098,6.4218720000000005,18.767749,0.0,13.251372,143.538339,2,15,22.0,0.0,15,27,38,0,0,0,0,0,0,0,0,0,1,1,1,10,1,4
453,100.0,0.2336673346693387,0.5050100200400801,0.0765531062124248,0.591182364729459,35.73567134268538,7,0.0,0.0,0.0,2.694236,11.497555,16.681856,4.196352,60.518212,14.775252,3.686496,18.83985,6.437374,18.595577,0.0,13.338976,171.261736,2,6,6.0,0.0,10,27,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
454,100.0,0.9214428857715432,0.1071142284569138,0.0925851703406813,0.0901803607214428,55.9559118236473,17,0.0,0.0,0.0,2.038,11.126078,10.72124,4.180992,57.08080399999999,13.756743,3.1996800000000003,16.607371999999998,6.15025,18.715697,0.0,12.534612,156.111468,2,14,29.0,0.0,13,27,37,0,0,0,0,0,0,0,0,0,0,1,1,11,1,3
455,100.0,0.9118236472945892,0.5126252505010019,0.0653306613226453,0.7394789579158316,80.7807615230461,11,0.0,0.0,0.0,2.550557,11.148868,9.049119999999998,3.904512,32.655376,13.736892,3.626304,17.279592,6.2682,18.610592,0.0,13.447576,132.277589,1,11,55.0,0.0,16,24,40,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
456,100.0,0.7370741482965932,0.0861723446893787,0.0841683366733467,0.5270541082164328,47.54749498997996,14,0.0,0.0,0.0,2.615773,10.319312000000002,11.252384,3.956736,46.371956,13.593354,3.4341120000000003,16.55784,6.2992040000000005,18.473455,0.0,12.866204,145.74033,2,13,131.0,0.0,19,32,40,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4
457,100.0,0.9374749498997996,0.2860721442885771,0.0909819639278557,0.625250501002004,51.351302605210414,9,0.0,0.0,0.0,2.451714,10.221315,10.465504,4.033536,44.45494,13.799499,3.633696000000001,17.00009,6.107114,18.756738,0.0,13.31074,144.23488600000002,1,9,45.0,0.0,8,21,35,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3
458,100.0,0.406813627254509,0.5069138276553106,0.1278557114228456,0.0581162324649298,36.53647294589179,12,0.0,0.0,0.0,2.573994,11.898659,20.793304,4.205568,68.45069199999999,14.836332,3.791568,19.90125,6.495338,18.86885,0.0,12.805388,184.620943,1,12,13.0,0.0,25,28,39,0,0,0,0,0,0,0,0,0,1,0,0,8,1,2
459,100.0,0.96312625250501,0.7582164328657315,0.0004008016032064,0.438877755511022,95.19519038076152,20,0.0,0.0,0.0,1.934062,9.512546,1.750808,3.904512,21.682112,12.296931,3.427248,13.235658,5.869192,18.757739,0.0,13.670568,106.041376,2,15,86.0,0.0,12,30,42,0,0,0,0,0,0,0,0,1,0,2,1,11,0,5
460,100.0,0.232064128256513,0.9581162324649298,0.0444889779559118,0.5170340681362725,59.35931863727456,12,0.0,0.0,0.0,2.811421,11.390442,16.603168,4.091904,51.2306,14.492757,3.926208,19.098124,6.609918,18.416398,0.0,13.145668,161.81660799999997,3,9,17.0,0.0,8,31,42,0,0,0,0,0,0,0,0,2,0,0,1,6,2,1
